FECHA_DESEMBOLSO,PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,FECHA_CORTE
20180104,FCTP,ICA,ICA,LA TINGUINIA,110102,FINANCIERA TFC,FINANCIERA,29800.00,6800.00,120,14.50,68000.00,20230811
20180104,NCMV,PIURA,MORROPON,CHULUCANAS,200401,FINANCIERA TFC,FINANCIERA,42500.00,6500.00,120,13.50,65000.00,20230811
20180105,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,37350.00,7750.00,96,14.00,77500.00,20230811
20180105,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,32450.00,14150.00,96,14.00,79000.00,20230811
20180105,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,37650.01,8949.99,180,14.00,79000.00,20230811
20180105,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,38000.01,8599.99,180,14.00,79000.00,20230811
20180105,FCTP,ANCASH,SANTA,NUEVO CHIMBOTE,021801,FINANCIERA TFC,FINANCIERA,37470.00,2130.00,144,14.50,71000.00,20230811
20180105,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,33000.00,10600.00,144,14.00,76000.00,20230811
20180105,FCTP,ICA,ICA,SUBTANJALLA,110112,FINANCIERA TFC,FINANCIERA,31864.00,2636.00,180,14.50,65900.00,20230811
20180105,FCTP,PIURA,PIURA,PIURA,200101,FINANCIERA TFC,FINANCIERA,36378.97,3000.00,180,14.50,66423.97,20230811
20180108,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,31519.99,15980.01,96,14.00,79900.00,20230811
20180108,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,37350.00,7750.00,96,14.00,77500.00,20230811
20180108,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,37650.01,8949.99,120,14.00,79000.00,20230811
20180108,FCTP,PIURA,PIURA,26 DE OCTUBRE,200115,CMAC SULLANA,CMAC,24241.64,6358.36,96,14.00,63000.00,20230811
20180108,FCTP,ICA,ICA,LA TINGUINIA,110102,FINANCIERA TFC,FINANCIERA,35600.00,3000.00,120,14.50,70000.00,20230811
20180109,FCTP,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,FINANCIERA TFC,FINANCIERA,24096.08,11503.92,180,14.50,67000.00,20230811
20180109,NCMV,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,275979.60,30664.40,240,9.20,306644.00,20230811
20180109,NCMV,LIMA,LIMA,BARRANCO,150104,CREDITO,BANCO,320659.19,80165.00,240,9.00,400824.19,20230811
20180109,NCMV,LIMA,LIMA,CHORRILLOS,150108,CREDITO,BANCO,305372.41,53889.25,240,9.19,359261.66,20230811
20180109,NCMV,LIMA,LIMA,BRENIA,150105,CREDITO,BANCO,340930.80,37881.20,240,9.90,378812.00,20230811
20180109,NCMV,LIMA,LIMA,SAN MIGUEL,150136,CREDITO,BANCO,317245.00,83062.00,240,9.30,400307.00,20230811
20180109,NCMV,LIMA,LIMA,BARRANCO,150104,CREDITO,BANCO,323100.00,73900.00,240,9.00,397000.00,20230811
20180109,FCTP,ANCASH,SANTA,NUEVO CHIMBOTE,021809,FINANCIERA TFC,FINANCIERA,31250.00,10350.00,168,14.50,73000.00,20230811
20180109,FCTP,ANCASH,SANTA,NUEVO CHIMBOTE,021809,FINANCIERA TFC,FINANCIERA,32010.00,7590.00,78,14.50,71000.00,20230811
20180109,FCTP,ANCASH,SANTA,NUEVO CHIMBOTE,021809,FINANCIERA TFC,FINANCIERA,30460.00,9140.00,120,14.50,71000.00,20230811
20180109,NCMV,LIMA,LIMA,SAN MIGUEL,150136,CREDITO,BANCO,324884.00,40000.00,240,9.00,364884.00,20230811
20180110,NCMV,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,230110,CMAC TACNA,CMAC,199000.00,45000.00,240,10.20,250000.00,20230811
20180110,NCMV,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,230110,CMAC TACNA,CMAC,264000.00,30000.00,240,10.20,300000.00,20230811
20180110,NCMV,ICA,ICA,SUBTANJALLA,110112,FINANCIERA TFC,FINANCIERA,58940.00,25050.00,120,13.50,96990.00,20230811
20180110,NCMV,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,149055.45,41800.00,180,10.00,201300.00,20230811
20180110,NCMV,LIMA,LIMA,BRENIA,150105,BANCO PICHINCHA,BANCO,217330.00,35000.00,240,9.30,258330.00,20230811
20180110,NCMV,ICA,ICA,LA TINGUINIA,110102,FINANCIERA TFC,FINANCIERA,47000.00,7000.00,132,13.50,70000.00,20230811
20180110,NCMV,LIMA,LIMA,COMAS,150110,INTERBANK,BANCO,62880.10,18848.00,120,10.00,94240.00,20230811
20180110,NCMV,LIMA,LIMA,SAN MIGUEL,150136,INTERBANK,BANCO,221054.05,25227.00,240,9.50,252270.00,20230811
20180110,NCMV,AYACUCHO,HUAMANGA,CARMEN ALTO,050104,CMAC HUANCAYO,CMAC,115500.00,16000.00,192,9.99,144000.00,20230811
20180110,NCMV,CALLAO,CALLAO,CALLAO,070101,CREDITO,BANCO,143203.00,27487.00,204,10.10,183190.00,20230811
20180110,NCMV,JUNIN,HUANCAYO,PILCOMAYO,120125,CMAC HUANCAYO,CMAC,126664.16,55409.54,240,9.99,194573.70,20230811
20180110,NCMV,PIURA,PIURA,CASTILLA,200104,CMAC HUANCAYO,CMAC,69287.32,120578.22,120,10.80,202365.54,20230811
20180110,NCMV,MOQUEGUA,ILO,PACOCHA,180303,CMAC HUANCAYO,CMAC,89000.00,43500.00,192,10.80,145000.00,20230811
20180110,NCMV,LIMA,LIMA,BRENIA,150105,CREDITO,BANCO,145188.00,28593.00,240,9.88,186281.00,20230811
20180110,NCMV,LIMA,LIMA,BRENIA,150105,CMAC HUANCAYO,CMAC,104500.00,13000.00,192,9.99,130000.00,20230811
20180110,NCMV,LIMA,LIMA,LOS OLIVOS,150117,CREDITO,BANCO,154300.00,30700.00,240,9.50,197500.00,20230811
20180110,NCMV,LIMA,LIMA,PUENTE PIEDRA,150125,CREDITO,BANCO,136718.00,42569.30,120,10.45,191787.30,20230811
20180110,NCMV,LIMA,LIMA,COMAS,150110,EDPYME MICASITA,EDPYME,105196.00,20004.00,240,10.26,137700.00,20230811
20180110,NCMV,PIURA,PIURA,PIURA,200101,INTERBANK,BANCO,85000.00,11000.00,180,10.45,110000.00,20230811
20180110,NCMV,LIMA,LIMA,BRENIA,150105,CREDITO,BANCO,213734.00,42472.00,239,10.00,262206.00,20230811
20180110,NCMV,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,CREDITO,BANCO,106300.00,13200.00,204,11.10,132000.00,20230811
20180110,NCMV,CALLAO,CALLAO,CALLAO,070101,CREDITO,BANCO,130102.00,17200.00,240,9.90,159802.00,20230811
20180110,NCMV,LIMA,LIMA,SAN MIGUEL,150136,CREDITO,BANCO,255184.50,29020.50,240,9.00,290205.00,20230811
20180110,NCMV,CALLAO,CALLAO,CALLAO,070101,CREDITO,BANCO,167500.00,20000.00,240,10.20,200000.00,20230811
20180110,NCMV,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,CREDITO,BANCO,166800.00,43200.00,180,10.00,216000.00,20230811
20180110,NCMV,JUNIN,HUANCAYO,HUANCAYO,120101,CREDITO,BANCO,104500.00,13000.00,180,10.25,130000.00,20230811
20180111,NCMV,LIMA,LIMA,CARABAYLLO,150106,CREDITO,BANCO,85900.00,24600.00,240,11.90,123000.00,20230811
20180111,NCMV,LIMA,BARRANCA,BARRANCA,150201,CMAC HUANCAYO,CMAC,66000.00,10000.00,132,12.68,90000.00,20230811
20180111,NCMV,LIMA,LIMA,BRENIA,150105,CREDITO,BANCO,276094.00,30750.00,240,9.00,306844.00,20230811
20180111,NCMV,LIMA,LIMA,MAGDALENA DEL MAR,150120,CREDITO,BANCO,185755.50,73609.50,240,9.60,265365.00,20230811
20180111,NCMV,LIMA,LIMA,BRENIA,150105,CREDITO,BANCO,232863.85,26550.00,180,9.10,265413.85,20230811
20180111,NCMV,CALLAO,CALLAO,CALLAO,070101,CREDITO,BANCO,137500.00,30652.00,240,10.00,180652.00,20230811
20180111,NCMV,ICA,ICA,ICA,110101,BANBIF,BANCO,163000.00,19500.00,180,10.00,195000.00,20230811
20180111,NCMV,LIMA,LIMA,LOS OLIVOS,150117,CREDITO,BANCO,144000.00,28500.00,180,9.75,185000.00,20230811
20180111,NCMV,LAMBAYEQUE,CHICLAYO,LA VICTORIA,140106,CREDITO,BANCO,149500.00,40500.00,120,10.00,202500.00,20230811
20180111,NCMV,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,74500.00,10000.00,180,11.75,98500.00,20230811
20180111,NCMV,LIMA,LIMA,LURIGANCHO,150118,BANBIF,BANCO,71250.00,58000.00,240,11.00,141750.00,20230811
20180111,NCMV,LIMA,LIMA,LURIGANCHO,150118,BANBIF,BANCO,116500.00,18539.00,240,9.50,147539.00,20230811
20180111,NCMV,LA LIBERTAD,TRUJILLO,LA ESPERANZA,130105,BANCO PICHINCHA,BANCO,80500.00,10500.00,240,11.00,105000.00,20230811
20180111,NCMV,LIMA,LIMA,LURIN,150119,FINANCIERA EFECTIVA S. A,FINANCIERA,110250.00,19000.00,240,10.50,141750.00,20230811
20180111,NCMV,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,69296.00,35004.00,240,11.50,118300.00,20230811
20180112,NCMV,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,CREDITO,BANCO,125769.23,25700.00,240,10.10,169000.00,20230811
20180112,NCMV,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,CREDITO,BANCO,115880.77,50984.00,240,10.95,184000.00,20230811
20180112,NCMV,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,CREDITO,BANCO,105673.08,21600.00,180,10.25,144000.00,20230811
20180112,NCMV,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,CREDITO,BANCO,114561.54,34956.00,240,11.70,166600.00,20230811
20180112,NCMV,LIMA,LIMA,LOS OLIVOS,150117,CREDITO,BANCO,185860.00,21320.00,240,9.35,213180.00,20230811
20180112,NCMV,LIMA,LIMA,CHORRILLOS,150108,CREDITO,BANCO,254910.00,28990.00,240,10.30,289900.00,20230811
