FECHA_DESEMBOLSO,PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,FECHA_CORTE
20190107,NCMV,JUNIN,HUANCAYO,EL TAMBO,120114,CMAC HUANCAYO,CMAC,90500.00,100891.60,120,9.99,204291.60,20230811
20190107,NCMV,SAN MARTIN,SAN MARTIN,TARAPOTO,220901,SCOTIABANK,BANCO,59230.77,21369.23,240,10.25,95000.00,20230811
20190108,NCMV,CUSCO,CUSCO,SANTIAGO,080106,BANBIF,BANCO,181888.00,20912.00,240,9.10,209000.00,20230811
20190108,NCMV,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,BANCO PICHINCHA,BANCO,114630.00,14170.00,240,9.80,141700.00,20230811
20190108,NCMV,PIURA,PIURA,PIURA,200101,BANBIF,BANCO,101698.80,12733.20,240,9.30,127332.00,20230811
20190108,NCMV,JUNIN,HUANCAYO,EL TAMBO,120114,INTERBANK,BANCO,118600.00,26000.00,156,9.50,157500.00,20230811
20190108,NCMV,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,126057.69,16000.00,120,8.00,160000.00,20230811
20190108,NCMV,LIMA,LIMA,BRENIA,150105,BANBIF,BANCO,205699.99,30800.00,240,9.75,242699.99,20230811
20190108,NCMV,JUNIN,HUANCAYO,HUANCAYO,120101,CMAC HUANCAYO,CMAC,117600.00,14500.00,132,11.80,145000.00,20230811
20190108,NCMV,PUNO,SAN ROMAN,JULIACA,211101,CMAC HUANCAYO,CMAC,83600.00,20000.00,120,10.80,118000.00,20230811
20190108,NCMV,AYACUCHO,HUAMANGA,JESUS NAZARENO,050115,CMAC HUANCAYO,CMAC,65600.00,42886.80,120,12.05,122886.80,20230811
20190108,NCMV,LA LIBERTAD,TRUJILLO,HUANCHACO,130104,CREDITO,BANCO,120040.91,22059.09,240,10.50,155000.00,20230811
20190108,NCMV,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,351932.33,40276.70,240,6.90,402767.00,20230811
20190108,NCMV,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,264166.02,68022.42,180,6.90,340113.42,20230811
20190108,NCMV,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,130111,CREDITO,BANCO,238600.00,27200.00,240,9.00,272000.00,20230811
20190108,NCMV,LIMA,LIMA,MAGDALENA DEL MAR,150120,CREDITO,BANCO,259853.08,64964.00,240,9.81,324817.08,20230811
20190108,NCMV,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,276000.00,69000.00,240,9.00,345000.00,20230811
20190108,NCMV,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,252410.78,30075.90,240,6.90,296259.00,20230811
20190108,NCMV,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,102291.00,12799.00,240,10.25,127990.00,20230811
20190108,NCMV,TACNA,TACNA,CRNEL. GREGORIO ALBARRACIN LANCHIPA,230110,CREDITO,BANCO,86300.00,24800.00,240,10.30,124000.00,20230811
20190108,NCMV,LIMA,LIMA,EL AGUSTINO,150111,INTERBANK,BANCO,146774.13,29212.50,240,8.00,194750.00,20230811
20190109,NCMV,LIMA,LIMA,CARABAYLLO,150106,BANCO PICHINCHA,BANCO,103422.00,21490.00,240,9.90,137812.00,20230811
20190109,NCMV,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,146711.65,36627.30,240,7.15,200640.30,20230811
20190109,FCTP,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,170103,FINANCIERA TFC,FINANCIERA,21450.00,1650.00,144,14.90,55000.00,20230811
20190109,FCTP,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,170103,FINANCIERA TFC,FINANCIERA,28240.00,1860.00,240,14.90,62000.00,20230811
20190109,FCTP,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,170103,FINANCIERA TFC,FINANCIERA,28240.00,1860.00,240,14.90,62000.00,20230811
20190109,FCTP,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,170103,FINANCIERA TFC,FINANCIERA,27600.00,2500.00,60,14.90,62000.00,20230811
20190109,FCTP,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,170103,FINANCIERA TFC,FINANCIERA,21240.00,1860.00,240,14.90,55000.00,20230811
20190109,NCMV,LIMA,LIMA,LURIN,150119,FINANCIERA TFC,FINANCIERA,84150.00,50000.00,180,12.90,145250.00,20230811
20190109,NCMV,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,166601.94,20500.00,240,7.10,205000.00,20230811
20190109,NCMV,LIMA,LIMA,SURQUILLO,150141,CREDITO,BANCO,149100.00,18000.00,240,9.30,180000.00,20230811
20190109,NCMV,CALLAO,CALLAO,LA PERLA,070104,CREDITO,BANCO,243190.00,27710.00,240,9.87,277100.00,20230811
20190109,NCMV,LIMA,LIMA,SAN MIGUEL,150136,CREDITO,BANCO,275728.16,33545.05,240,6.90,317545.05,20230811
20190109,NCMV,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,244936.89,45615.00,240,7.40,304100.00,20230811
20190109,NCMV,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,215712.50,25375.99,240,6.91,253759.86,20230811
20190109,NCMV,LIMA,LIMA,BRENIA,150105,CREDITO,BANCO,256116.50,30000.00,120,7.49,300000.00,20230811
20190109,NCMV,LIMA,LIMA,LA VICTORIA,150115,CREDITO,BANCO,245998.06,28842.00,180,6.90,288420.00,20230811
20190110,NCMV,JUNIN,HUANCAYO,EL TAMBO,120114,CMAC HUANCAYO,CMAC,225955.00,25795.00,240,9.99,257950.00,20230811
20190110,NCMV,MOQUEGUA,ILO,PACOCHA,180303,CMAC HUANCAYO,CMAC,107526.03,24573.97,240,9.99,145000.00,20230811
